Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,,General Notes
Elemental Blast,Area,Instant,Attack    X = Influence    Y = Level,Weapon,"Consume an Attack Token. Make an attack against all entities within a box that is Y x Y. In addition, disperse X damage among the targets",Discard,Status Spike,Enemy,1 Rnd,Influence   X = Level,Influence,On success target reduces all rolls by X and takes X damage,Exhaust,2 Level Points,"Fin 2, Str 1, Cha 1",,
Hand Up,Ally,Instant,,Influence,Discard a card. Target Ally may play an additional Ability in place of this action,Discard,Second Wind,Ally,Instant,,Influence,Target Ally may play an additional turn in place of this action. Skip your next turn,Exhaust,2 Level Points,Kno 4,,
Blow Off,Self,1 Rnd,,-,"On the next instance of damage being dealt to you, instead take no damage.",Discard,Deflect Damage,Self,1 Rnd,X = Influence,-,"On all instance of damage dealt to you, reduce it by X",Discard,2 Level Points,Vig 4,,
Min,Enemy,1 Rnd,Influence,Influence,"On success, target enemy rolls their next roll twice, then takes the lower sum",Discard,Max,Ally,1 Rnd,,Influence,"Target ally rolls their next roll twice, taking the higher sum",Discard,2 Level Points,Cha 4,,
Delivery Guaranteed,Enemy,1 Rnd,Attack,Weapon,"If your attack deals damage to target Enemy, then their next defense value against you is 0",Exhaust,Trade Blows,Self,1 Rnd,X = Level    Y = Defense reduced,-,On your next Defense Roll you may choose to reduce it by Y. If you take damage then deal Y * X damage to the attacker,Exhaust,2 Level Points,"Str 2, Kno 1, Fin 1",,
Construct,Area,X Rnds,X = Level * 5,-,"Discard a card. Lay down spikes on a 1 x X space. You must be next to one of the squares in this space upon casting. Whenever an enemy walks onto the spiked spaces, they roll defense against X",Exhaust,Triggered Trap,Area,X Rnds,X = Level * 5   Y = Influence,-,"Discard a card. Throw your trap on a space within X feet. You may activate it at anytime. When it is activated, it explodes dealing Y damage to an enemy on the space it was placed and any enemies on an adjacent spaces.",Discard,2 Level Points,"Cra 3, Fin 1",,
Generals Orders,Ally,Instant,,Influence,Target Ally plays an additional Top Action in place of this action. Return a card from discard to your hand,Discard,Team Play,Ally,Instant,X = Level,Influence,You and target Ally return up to X cards from discard and heal up to X life. ,Exhaust,2 Level Points,"Kno 3, Spi 1",,
Options Lead Victory,Enemy,Instant,Influence,Influence,"If you succeed, target enemy takes X damage, where X is equal to each card in your hand",Hand,Mindstrike,Enemy,Instant,Influence,Influence,"If you succeed, roll influence and enemy takes the value as damage. You may exhaust a card from your deck and replay this action. ",Exhaust,2 Level Points,Fin 4,,
Exploitation,Self,Instant,,-,You may play one additional card's top or bottom action in place of this action,Discard,Abuse Knowledge,Self,Instant,,-,You may play the top and bottom action of one card you played earlier this turn,Exhaust,2 Level Points,4 Kno,,
Several Slaps,Enemy,1 Rnd,Attack,Weapon,"Whenever target enemy takes an action, you may attack that enemy.",Discard,Sick Nasty Slap,Enemy,Instant,Attack,Weapon,"Attack Target Enemy with your bare hand as the weapon. If damage is dealt, Target Enemy can only utilize movement during their next turn",Exhaust ,2 Level Points,"Str 3, Cha 1",,
Infused Explosion,Area,Y Rnds,X = Influence    Y = Level,Influence,"Consume an attack token. Throw a bomb at a square. It deals X damage to anything in that square. If something starts a turn on that square, they take X damage",Discard,Created Carapace,Self,X Rnds,X = Level    Y = Influence,-,Consume a defense Token. Exhaust a card. Whenever an enemy attacks you they take Y damage,Discard,2 Level Points,"Cra 2, Fin 2",,
Standout Target,Enemy,Instant,Attack    Influence,-,"If you succeed an influence roll on a marked target, attack that target. They cannot roll defense. Then remove that mark.",Discard,Easy Setup,Enemy,Instant,Influence,Influence,Mark target. If you succeed return this card to your hand.,Exhaust ,2 Level Points,"Per 3, Str 1",,
Pop-up,Enemy,X Rnds,Attack    X = Influence    Y = Level,Weapon,"If enemy is greater than 10 feet away, gain Y in defense against them",Discard,Tornado Strike,Enemy,Instant,Attack    Influence,Weapon,"If damage is dealt, target is pushed back 15 ft. If influence roll is successful, push target and adjacent enemies back 5 ft. ",Discard,2 Level Points,"Vig 2, Str 1, Cha 1",,
This is the Way,Any,1 Day,,-,Can intuit best path to target when target in influence range,Discard,Jungle Awareness,Area,X Rnds,X = Level,,Detect the location of all enemies in a 30 ft. area around self,Exhaust,2 Level Points,Per 4,,
Beetle Style,Self,X Rnds,X = Level,-,Add influence to defense rolls,Discard,Rhino Style,Enemy,1 Rnd,Influence,Influence,"On success, add influence value to attack values against that enemy in the following round",Exhaust,2 Level Points,"Vig 2, Per 2",,
Covering Fire,Area,1 Rnd,X = Influence    Y = X *5,Influence,Attack values are reduced by X in 5*Y area,Exhaust,Bombardment,Area,Instant,X = Influence * Level,Weapon,Choose point within range. Make an attack against each enemy in area of radius X around this spot,Exhaust,2 Level Points,"Vig 2, Str 2",,
Transfusion,Ally,Instant,X = Influence,Influence,"Lose X Health, target heals up to X life",Discard,Life Spring,Self,Y Rnds,X = Level    Y = Influence,-,All allies within 15 ft of your area heal for X on their turn,Exhaust,2 Level Points,"Spi 3, Kno 1 ",,
Spare Mine,Area,X Rnds,X = Influence,-,Throw a mine to a spot within 20 feet. Any enemy movement on or in adjacent 5 feet of spot results in 2d6 damage,Discard,Secret Stash,Area,X Rnds,X = Level,-,In adjacent space create 3 consumable items. These items last up to X rounds and heal for up to X health.,Exhaust,2 Level Points,"Cra 2, Fin 1, Spi 1",,
Whirlwind,Area,Instant,Influence,-,"Target all enemies within 10 feet of you with influence roll. On success, deal 1d6 damage per target",Discard,Reactive Shell,Self,X Rnds,X = Level    Y = Influence,-,"Create a barrier around yourself. If attacked, dispense Y damage to attacker",Discard,2 Level Points,Fin 4,,
Power Lance,Enemies,Instant,Attack,Weapon,Attack 2 enemies that are adjacent to each other,Discard,Lasting Impact,Area,X Rnds,Attack    X = Level,Weapon,"After the attack, your next 10 feet of movement leaves behind an aura of damage. Passing on or through any of these 5ft. squares results in 1d4 damage",Discard,2 Level Points,"Str 2, Cra 1, Fin 1",,
Overdrive,Self,Instant,,-,"Gain 20 feet of movement. Double all movement this turn.
you may consume a defense token to instead put this in your hand",Exhaust,Overkill,Enemy,Instant,Attack,Weapon,"After calculating the damage, determine if doubling the damage would be enough to kill the target. If so, kill the target. else, do no damage",Exhaust,2 Level Points,"Fin 2, Str 2",,
Bitter Cold,Enemy,X rnds,Influence,Influence,"On success, reduce target movement by 10 ft. You may consume a defense token to reduce it by an addition 10 ft.",Exhaust,Wall of White,Area,Instant,X = Influence,Influence,Choose a 5 x 10 ft. area in range. All in area defend against X damage. You may consume an attack token to increase area of effect to 5x20,Discard,2 Level Points,"Cha 2, Cra 2",,
Cup of Life,Any,Instant,X = Influence,Influence,Heal target for X. you may consume a defense token to double healing,Exhaust,Mark of Protection,Enemy,Instant,X = Level * 2,Influence,"If target is marked, heal for X and then remove that mark",Exhaust,2 Level Points,"Spi 2, Vig 1, Per 1",,
Mark of the Shield,Self,1 Rnd,,-,"For each enemy that targets you with an attack, mark that enemy",Exhaust,Wrangle,Enemy,Instant,,Influence,"Gain 15 ft. movement. If target is marked, they are forced to mimic your movement",Exhaust,2 Level Points,"Per 2, Cha 1, Fin 1",,
Strike of Catharsis,Enemy,Instant,Attack    X = Level,Weapon,If damage is dealt you may consume one Influence Token to return 1 card from discard and heal for X,Discard,Reconsider,Enemy,Instant,Influence,Influence,"When enemy moves, you may roll opposing Influence. On success, consume an influence token to stop their movement",Discard,2 Level Points,"Cha 2, Str 1, Kno 1",,
Poisonous Bite,Enemy,Instant,Attack    X = Level,Weapon,"If damage is dealt, enemy takes 1d4 damage at the start of your next turn. If attack token is consumed, damage persists for X additional rounds",Discard,Deal with Death,Self,Instant,,-,"Copy ability from an exhausted card, and use that ability in place of this ability",Exhaust,2 Level Points,"Kno 2, Str 1, Fin 1",,
Friendly Barter,Ally,Instant,X = Influence,Influence,Ally may discard one card and heal for X,Exhaust,Dirty Deal,Enemy,Instant,Influence,Influence,"On success, determine which ally an enemy can target next turn",Exhaust,2 Level Points,"Spi 2, Cha 2",,
Spectral Cohorts,Self,X Rnds,X = Influence,-,"Gain X summons (1 HP, 1d4 unblockable attack, 15 ft movement with flight)",Discard,Spectral Backup,Self,X Rnds,X = Level,-,"If downed, you may immediately play action. Gain X summons (1 HP, 2d4 attack, 5 ft movement)",Exhaust,2 Level Points,"Spi 3, Fin 1",,
Sharing is Caring,Ally,X Rnds,"X = Level
Y = rounds kept in stasis * X",Influence,"Your ally may play this card in their stasis slot, or use it immediately. This card may be consumed and returned to your discard pile, granting the ally Y health and an extra action",Discard,Borrowed Life,Ally,1 Rnd,X = Level,Influence,"Reduce your health by X to apply buff to Ally. If Ally is downed in next round, they instead set their health to X",Exhaust,2 Level Points,Spi 4,,
Counter,Enemy,2 Rnds,X = level,Influence,Remove defense token on target to reduce their attack values by X,Discard,Riposte,Enemy,1 Rnd,,Weapon,"If you defend against target's attack, consume a defense token to attack them back. Target does not roll defense",Discard,2 Level Points,"Vig 2, Str 2",,
Reset,Enemy,1 Rnd,X = Level,Influence,Reduce your next defense value by X to return all player's contact tokens from target,Exhaust,Granting Cover,Enemy,1 Rnd,,Influence,Remove defense token on target to prevent an overstep attack,Discard,2 Level Points,"Kno 2, Cha 2",,
Cheap Shot,Enemy,Instant,Attack    X = Level,Weapon,"If damage is dealt, reduce targets next attack by X",Discard,Ankle Shank,Enemy,X Rnds,Attack    X = Level    Y = X/2,Weapon,"If damage is dealt, you may consume an attack token. Target's defense is lowered by Y and movement reduced by 10 ft for X rounds",Discard,2 Level Points,"Str 2, Vig 2",,
