Tier,ID,Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,New Card Names,Robin's Thoughts,Ory's Thoughts,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,Perception Requirements,Vigor Requirements,Finesse Requirements,Knowledge Requirements,Strength Requirements,Spirituality Requirements,Charisma Requirements,Craftmanship Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts,
1,1,Nurture Nature,Plant,1 Day,X = Level * 5,Influence,Summon a plant that is 5 feet wide and up to X feet long or tall,Discard,"Empowered Fertilizer/Quick Maturation/Abridged Development/Quick, Harvest!","should specify, grow an existing plant? Or do we want plants growing in even sterile environments?",,Earthen Sculpture,Ground,Day,X = Influence    Y = Level,Influence,"Create 1 foot thick wall, X+Y tall and wide, up to X feet away",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,"Earthen Wall/Ground Defense/Spawn Wall/Earth, Defend!",should the range be a static 5/10 feet? Most of the time it'll be non-divisible by 5 anyway,,"character's that are bad for squib: new lines,the dot dot dot single character, commas"
1,2,Revive,Ally,Instant,X = Level,Influence,"Target is revived from downed state, their health becomes X or their max HP, whichever is lower",Exhaust,x,x,,Mend The Masses,Ally,Instant,X = Influence    Y = Level,Influence,"X are targeted, healed by Y amount. Exhaust a card.",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,x,,
1,3,Thoughtful Strike,Enemy,Instant,Attack,Weapon,Return card from discard,Discard,Heedful Strike/Meditative attack/Deliberative Hit/Setup Strike,x,,Recollection of Events,Self,Instant,,-,Return 3 cards from discard,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,Coalescing Thoughts/Reconsider Plans/Reflecting Moment/Building a Plan,kinda feels underpowered for an exhaust. Maybe make it 4 cards?,,
1,4,Inspection,Enemy,Instant,,Influence,You may move a token from one target to another,Hand,Recalibrating/Reorient Focus/Refocus/Redirect Attention/Reprioritize,moving a single token--even if this card returns to hand--feels exceptionally weak__maybe move up to 2 tokens,,Pinpoint Punishment,Enemy,Instant,Attack    X = Level,Weapon,Add X to attack value,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,This feels too boring-It's the kind of thing I'd always want to be playing if I had the choice--it's just a good attack__Doesn't relate to pinpoint at all--because there's not cost to try and focus--it feels like making a called shot but without any challenge___maybe contested influence to get the extra damage,,
1,5,Flip,Enemy,Instant,Attack,Weapon,Topple if damage is dealt,Discard,x,x,,Out,Enemies,1 Rnd,Attack ,Weapon,"For each attack made against you, immediately after attack that enemy",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,x,,
1,6,Mockery,Enemy,1 Rnd,Influence    X = Level,Influence,"On success, targets next roll of any kind is reduced by X",Hand,Making a Mockery/Derision/Belittling Jeer,"like destiny swap, but requires succeed influence, and reduces by x instead of Mn.
maybe needs to last more rounds. Acutally what I like better, make all their rolls reduce by X instead of just the first",,Encourage,Ally,1 Rnd,X = Influence,Influence,Target adds X to next attack or defense value,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,Heartening Motivation/Fostering Hope/Grant Inspiration,x,,
1,7,Takedown,Enemy,Instant,Attack    X = Influence * 3,Weapon,"add X to attack value if marked, then remove mark from target",Discard,x,x,,Setup,Enemy,Instant,Attack ,Weapon,Mark target if damage is dealt,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,x,,
1,8,Altered Form,Self,X Rnds,X = Influence    Y = Level,,"Transform into similar-sized creature. Add X to defense values or attack values for the duration. After duration, lose Y in Health Points",Discard,x,"similar to encourage but is top, applies to self, lasts multiple rounds, lose level in health, and discards instead of to hand; similar to pay to protect but add influence instead of level, and lasts longer",,Transmute,Self,X Rnds,X = Influence    Y = Level,-,"Summon either:     Large Plant [all die=your influence die, range 5ft, health=X, no movement]     Medium Creature [attack die=2 * X, defense=X, range 5ft, health=Y, movement=20 ft]",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,Summon Nature/Countryside Assistance,"we should probably create a shorthand for summoning rule. if the doc describes the format, like how it describes the discard/exhaust/handedness, we could get some consistency and keep these rules concise",,
1,9,Pay to Punish,Enemy,Instant,Attack    X = Level,Weapon,"Attack target up to X times, and lose X health per attack",Exhaust,x,x,,Pay to Protect,Self,1 Rnd,X = up to Level,-,Lose X health points. Increase all defense values by X,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,"similar to Encourage but costs health, adds level instead of influence, only can buff defense, but applies to more than 1 roll",,
1,10,Aid,Ally,Instant,X = Influence,Influence,Heal target by X,Exhaust,Balm/Pinch of help,x,,Replenish,Ally,Instant,,Influence,Target returns 1 card from discard,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,Refresh/Recharge,,,
