Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,New Card Names,Robin's Thoughts,Ory's Thoughts,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts,General Notes
Nurture Nature,Plant,1 Day,X = Level * 5,influence,Summon a plant that is 5 feet wide and up to X feet long or tall,Discard,"Empowered Fertilizer/Quick Maturation/Abridged Development/Quick, Harvest!","should specify, grow an existing plant? Or do we want plants growing in even sterile environments?",,Earthen Sculpture,Ground,Day,X = Influence    Y = Level,influence,"Create 1 foot thick wall, X+Y tall and wide, up to X feet away",Exhaust,1 Skill Point,N/A,"Earthen Wall/Ground Defense/Spawn Wall/Earth, Defend!",should the range be a static 5/10 feet? Most of the time it'll be non-divisible by 5 anyway,,
Revive,Ally,Instant,X = Level,influence,"Target is revived from downed state, their health becomes X or their max HP, whichever is lower",Exhaust,x,x,,Mend The Masses,Ally,Instant,X = Influence    Y = Level,influence,"X are targeted, healed by Y amount. Exhaust a card.",Discard,1 Skill Point,N/A,x,x,,
Thoughtful Strike,Enemy,Instant,Attack,weapon,Return card from discard,Discard,Heedful Strike/Meditative attack/Deliberative Hit/Setup Strike,x,,Recollection of Events,Self,Instant,,na,Return 3 cards from discard,Exhaust,1 Skill Point,N/A,Coalescing Thoughts/Reconsider Plans/Reflecting Moment/Building a Plan,kinda feels underpowered for an exhaust. Maybe make it 4 cards?,,
Inspection,Enemy,Instant,,influence,You may move a token from one target to another,Hand,Recalibrating/Reorient Focus/Refocus/Redirect Attention/Reprioritize,"moving a single token, even it this card returns to hand, feels exceptionally weak… maybe move up to 2 tokens?",,Pinpoint Punishment,Enemy,Instant,Attack    X = Level,weapon,Add X to attack value,Discard,1 Health,N/A,x,"This feels too boring. It's the kind of thing I'd always want to be playing if I had the choice, it's just a good attack. Doesn't relate to pinpoint at all, because there's not cost to try and focus, it feels like making a called show but without any challenge... maybe contesdted influence to get the extra damage?",,
Flip,Enemy,Instant,Attack,weapon,Topple if damage is dealt,Discard,x,x,,Out,Enemies,1 Rnd,Attack ,weapon,"For each attack made against you, immediately after attack that enemy",Exhaust,1 Health,N/A,x,,,
Mockery,Enemy,1 Rnd,Influence    X = Level,influence,"On success, targets next roll of any kind is reduced by X",Hand,Making a Mockery/Derision/Belittling Jeer,"like destiny swap, but requires succeed influence, and reduces by x instead of Min…
maybe needs to last more rounds? Acutally what I like better, make all their rolls reduce by X instead of just the first",,Encourage,Ally,1 Rnd,X = Influence,influence,Target adds X to next attack or defense value,Hand,1 Skill Point,N/A,Heartening Motivation/Fostering Hope/Grant Inspiration,,,
Takedown,Enemy,Instant,Attack    X = Influence * 3,weapon,"add X to attack value if marked, then remove mark from target",Discard,x,x,,Setup,Enemy,Instant,Attack ,weapon,Mark target if damage is dealt,Discard,1 Skill Point,N/A,x,,,
Altered Form,Self,X Rnds,X = Influence    Y = Level,na,"Transform into similar-sized creature. Add X to defense values or attack values for the duration. After duration, lose Y in Health Points",Discard,x,x,,Transmute,Self,X Rnds,X = Influence    Y = Level,na,"Summon either: 
Large Plant [all die=your influence die, range 5ft, health=X, no movement] 
Medium Creature [attack die=2 * X, defense=X, range 5ft, health=Y, movement=20 ft]",Exhaust,1 Skill Point,N/A,Summon Nature/Countryside Assistance,,,
Pay to Punish,Enemy,Instant,Attack    X = Level,weapon,"Attack target up to X times, and lose X health per attack",Exhaust,x,x,,Pay to Protect,Self,1 Rnd,X = up to your Level,na,Lose X health points. Increase all defense values by X,Discard,1 Health,N/A,x,,,
Aid,Ally,Instant,X = Influence,influence,Heal target by X,Exhaust,,,,Replenish,Ally,Instant,,influence,Target returns 1 card from discard,Hand,1 Skill Point,N/A,,,,
Lunging Strike,Enemy,Instant,Attack,weapon,Increase range by 5 feet and movement by 15 feet,Discard,,,,Double Strike,Enemy,Instant,Attack ,weapon,"Attack target twice, lose 15 feet of movement",Discard,1 Health,N/A,,,,
Bolster,Self,1 Rnd,X = Level,na,Add X to next defense value,Discard,,,,Baited Bash,Self,1 Rnd,Defense,na,"If next defense value is greater than opposing attack value, attacker takes difference in damage",Discard,1 Health,N/A,,,,
Bread,Self,Instant,X = Influence,na,"Add X to the next influence roll. Choose 1: add 25 movement, or return a target card from discard",Discard,,,,Butter,Enemy,1 Rnd,Attack    X = Level,weapon,Either add X to next Attack Value or add X to your next Defense Value. ,Discard,1 Health,N/A,,,,
Smoke Screen,Area,X Rnds,X = Level,na,"At a range of X*5 feet, create a 15 ft diameter smoke screen. Applies No Sight to any creature within",Exhaust,,,,Break Sight,Enemy,1 Rnd,Influence,influence,"On success, target cannot target you with more than one action on their turn",Hand,1 Skill Point,N/A,,,,
Convince,Enemy,Instant,Influence,influence,"On success, target is forced to perform 1 specific 6-second duration non-violent action on their next turn, up to GM discretion",Exhaust,,,,Foresight,Enemy,Instant,Influence,influence,"On success, discard a card and gain knowledge of enemies actions",Exhaust,1 Skill Point,N/A,,,,
Imbued Strike,Enemy,Instant,Attack,weapon,"If target bares one of your Attack Tokens, you may remove the token and attack the target again. ",Discard,,,,Conservative Cost,Enemy,Instant,Attack    X = Damage Dealt,weapon,Return X consumed tokens,Exhaust,1 Health,N/A,,,,
Pinned,Enemy,1 Rnd,Attack,weapon,"If marked, target movement is reduced to 0, then remove a mark from the target",Discard,,,,Murder Markings,Enemies,Instant,Attack  X = Influence,weapon,"Attack up to X targets, if damage would be dealt mark them instead",Exhaust,1 Skill Point,N/A,,,,
Throw Projectiles,Enemy,Instant,Attack    X = Influence * 5,weapon,Consume an Attack Token. Add X to your range for this turn,Discard,,,,Heavy Hit,Enemy,Instant,Attack    X = Influence,weapon,"Consume an Attack Token, add X to attack",Discard,1 Skill Point,N/A,,,,
Demand Resilience,Ally,1 Rnd,Influence,influence,Target adds your Influence Die to all their Defense Values,Exhaust,,,,Demand Weakness,Enemy,Instant,Influence,influence,On success move all of your placed tokens onto Target Enemy,Discard,1 Skill Point,N/A,,,,
Carry Over,Enemy,1 Rnd,Attack    X = Attack Reduced    Y = Level,weapon,"Reduce this attack value by X, X cannot exceed Y, you may add X to your next attack value",Discard,,,,Wager,Enemy,Instant,Attack    X = Attack Reduced,weapon,Reduce this attack value by X. If damage is still dealt then deal X twice to damage to that target,Discard,1 Health,N/A,"Wager is poor against enemies with high defense, no need to change it?",,,
Appear Aggressive,Enemy,1 Rnd,Influence,influence,"On success, discard a card, and target cannot attack you",Discard,,,,Appear Meek,Enemy,Instant,Influence,influence,"On success, discard a card, and target must attack you with at least one action if you are in their range.",Discard,1 Skill Point,N/A,,,,
Summon the Many,Area,Day,Y = Level,influence,Summon Y beings with 1 health. They deal Y unblockable damage. Their movement is 30 ft,Exhaust,,,,Summon the One,Area,Day,X = Influence,influence,Summon a being with X health. Its Attack/Defense Value is X. Its movement is equal to 30 ft,Exhaust,1 Skill Point,N/A,,,,
Painful Reflection,Self,Instant,X = Level    Y = Health Lost,na,"Lose up to X health points, return Y cards from discard",Exhaust,,,,Re-Strategize,Self,Instant,,na,"Exhaust a card, exchange a card from discard with a card from your deck, which goes into discard.",Exhaust,1 Skill Point,N/A,,,,
Appetizer,Enemy,Instant,Attack    X = Level,weapon,"If damage is dealt, target's next defense roll is reduced by X",Discard,,,,Order Up,Self,Instant,X = Influence,na,"Recover a consumed Contact Token. if no Contact Tokens can be recovered, recover 2 cards from discard instead",Discard,1 Skill Point,N/A,,,,
Cost of Living,Self,Instant,X = Cards discarded    Y = Level,na,"Discard X cards, heal for X+Y",Exhaust,,,,Cycle Thoughts,Self,Instant,X = Cards discarded,na,"Discard X card, return X cards from discard",Discard,1 Skill Point,N/A,,,,
Quick Strike,Enemy,Instant,Attack,weapon,Discard a card,Hand,,,,Basic Strike,Enemy,Instant,Attack,weapon,Attack target,Discard,1 Health,N/A,,,,
Meal of the Marked,Enemy,Instant,Attack    X = Influence,weapon,"If target is marked, add X to attack value. Heal for however much damage was dealt, if any, then remove a mark",Exhaust,,,,Marked Mauling,Enemy,Instant,Attack,weapon,"If target is marked, topple target and reduce their next defense by 1d4, then remove a mark",Discard,1 Skill Point,N/A,,,,
Weighted Slam,Enemy,Instant,Attack    X = Cards discarded,weapon,"Add X to attack value. On damage being dealt, enemy is moved X*5 feet away from you",Discard,,,,Blasting Box,Area,Instant,Attack    X = Cards discarded,influence,Consume Attack Token. All targets in 5*X ft area roll Defense against the attack,Exhaust,1 Health,N/A,,,,
Dodge,Self,1 Rnd,X = Level  Y = coin flip/even-odd die roll,na,"When next attacked, first roll a die. If even, take no damage from that attack. If odd, add X to your Defense Value.",Discard,,,,Expect,Enemy,1 Rnd,Attack    X = Level,weapon,If the targeted enemy attacks you before your next turn then add X to your Defense Value,Hand,1 Health,N/A,,,,
Dissassociate,Enemy,1 Rnd,Attack,weapon,"If your attack deals damage to Target, then that Targets next Influence Roll will use a reduced die down to a minimum of a 1d4",Hand,,,,Unsettled,Enemy,1 Rnd,Influence,influence,On success targets next Attack or Defense die are reduced down to a minimum 1d4.,Discard,1 Skill Point,N/A,,,,
One for One,Enemy,1 Rnd,Attack,weapon,"For next attack against you, if damage is taken, attack in response. Otherwise, return a target card from discard",Discard,,,,Now I'm Your Problem,Enemy,1 Rnd,Attack,weapon,"For next attack against you, if no damage is taken, target is toppled",Discard,1 Health,N/A,,,,
Hunter's Reward,Enemy,Instant,Attack    X = Attack Reduced,weapon,"Reduce this attack value by X, if damage is still dealt then heal for X and deal X additional damage",Exhaust,,,,Enemy Spotted,Enemy,Instant,,influence,Mark Target,Exhaust,1 Skill Point,N/A,,,,
Salt Circle,Enemy,1 Rnd,X = Level,influence,All attacks against you are reduced by X. You may not attack with your other action,Hand,,,,Boney Curse,Enemy,Instant,Attack,weapon,"If damage is dealt, target and targets within 5ft are marked",Exhaust,1 Health,N/A,,,,
Changing Fate,Any,Instant,,influence,Force a re-roll of target's next die roll,Hand,,,,Destiny Swap,Any,1 Rnd,,influence,"Choose either:
1) lowest roll of target's next action is treated as max
2) highest roll of target's next action is treated as min",Exhaust,1 Skill Point,N/A,,,,
Teetotaler,Enemy,Instant,Influence,influence,"On success, target's next die rolls are rolled twice, and the lower value must be used",Discard,,,,Still a Little Left,Self,Instant,,na,Use a consumable. It has a 50% chance of not being consumed,Exhaust,1 Skill Point,N/A,,,,
Sprint,Self,Instant,,na,Gain  30 ft. of movement,Hand,,,,Jump Pad,Area,1 Rnd,X = 5 * Level,influence,"Select a direction. Select a space within 5ft of you. While active, anyone on that space may jump X ft in the selected direction",Discard,1 Skill Point,N/A,,,,
Reposition,Enemy,Instant,Attack,weapon,"After your attack, gain 5 ft. of movement. This movement doesn't proc Overstep",Discard,,,,Coward's Ultimatum,Enemies,X Rnds,X = level,influence,Gain 1 Overstep Attack per round,Exhaust,1 Health,N/A,,,,
Nature's Insight,Animal,Instant,X = Influence    Y = level,influence,"Effects depending on X:
1-3: cause Distraction on enemy
4-6: target attacks specified enemy for 1 turn
7+: target attacks specified enemy for Y rnds",Discard,,,,Seasonal Planning,Self,X Rnds,X = Level,na,Gain +1 to influence rolls,Discard,1 Skill Point,N/A,,,,
Land of Barbs,Area,X Rnds,X = level    Y = Influence * 5,influence,"Square terrain of size Y (up to 30ft) is harmful: any movement into, out of, or through an area results in X damage for every 5 ft.",Exhaust,,,,Fibrous Hold,Enemy,1 Rnd,Influence,influence,"On success, target's movement is set to 0, unless they spend an action attacking their bindings",Discard,1 Skill Point,N/A,,,,
Precision,Enemy,Instant,Attack    X = Level,weapon,"If one of the die used for your Attack Value is less than X, you may reroll that die",Discard,,,,Beaten Bash,Enemy,Instant,Attack    X = Level,weapon,Lose X life. ,Hand,1 Health,N/A,,,,
Reply,Enemy,1 Rnd,Attack,weapon,"In response to the next Overstep Attack made against you, attack the aggressor",Discard,,,,Leap and Strike,Enemy,Instant,Attack    X = Cards in Discard * 5,weapon,Gain X movement before or after your attack ,Hand,1 Health,N/A,,,,
